subject_id,year_in_study,record_date,is_primary,lifestyle,lifestyle_other_specify,therapy_visit_hospital,therapy_visit_library,therapy_visit_nursing_home,therapy_visit_school,therapy_visit_other,therapy_visit_other_specify
grls007MPNZZ,0,2014-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,0,2014-05,0,therapy dog,,0,0,0,0,1,not specified
grls007MPNZZ,1,2015-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,1,2015-05,0,therapy dog,,0,0,0,0,1,not specified
grls007MPNZZ,2,2016-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,2,2016-05,0,therapy dog,,0,0,0,0,1,not specified
grls007MPNZZ,3,2017-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,3,2017-05,0,therapy dog,,1,1,0,0,1,not specified
grls007MPNZZ,4,2018-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,4,2018-05,0,therapy dog,,1,1,0,0,1,not specified
grls007MPNZZ,5,2019-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,5,2019-05,0,other,unspecified,0,0,0,0,0,
grls007MPNZZ,6,2020-06,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,6,2020-06,0,other,unspecified,0,0,0,0,0,
grls007MPNZZ,7,2021-05,0,other,unspecified,0,0,0,0,0,
grls007MPNZZ,7,2021-05,1,companion/pet,,0,0,0,0,0,
grls007MPNZZ,8,2022-05,0,other,unspecified,0,0,0,0,0,
grls007MPNZZ,8,2022-05,1,companion/pet,,0,0,0,0,0,
grls00NB23WW,0,2014-01,1,companion/pet,,0,0,0,0,0,
grls00NB23WW,0,2014-01,0,hunting,,0,0,0,0,0,
grls00NB23WW,1,2015-01,1,companion/pet,,0,0,0,0,0,
grls00NB23WW,1,2015-01,0,hunting,,0,0,0,0,0,
grls00NB23WW,2,2016-01,1,companion/pet,,0,0,0,0,0,
grls00NB23WW,2,2016-01,0,hunting,,0,0,0,0,0,
grls01C2L8RR,0,2014-08,1,breeder,,0,0,0,0,0,
grls01C2L8RR,0,2014-08,0,show,,0,0,0,0,0,
grls01C2L8RR,1,2015-08,1,companion/pet,,0,0,0,0,0,
grls01C2L8RR,1,2015-08,0,obedience,,0,0,0,0,0,
grls01C2L8RR,2,2016-08,1,companion/pet,,0,0,0,0,0,
grls01C2L8RR,2,2016-08,0,obedience,,0,0,0,0,0,
grls01C2L8RR,3,2017-07,1,companion/pet,,0,0,0,0,0,
grls01C2L8RR,3,2017-07,0,other,unspecified,0,0,0,0,0,
grls01C2L8RR,4,2018-08,1,companion/pet,,0,0,0,0,0,
grls01C2L8RR,4,2018-08,0,other,unspecified,0,0,0,0,0,
grls01C2L8RR,5,2019-07,1,companion/pet,,0,0,0,0,0,
grls01C2L8RR,5,2019-07,0,other,unspecified,0,0,0,0,0,
grls01C2L8RR,6,2020-08,0,other,unspecified,0,0,0,0,0,
grls01C2L8RR,6,2020-08,1,companion/pet,,0,0,0,0,0,
grls01C2L8RR,7,2021-08,0,other,unspecified,0,0,0,0,0,
grls01C2L8RR,7,2021-08,1,companion/pet,,0,0,0,0,0,
grls01LNL888,0,2013-05,1,companion/pet,,0,0,0,0,0,
grls01LNL888,0,2013-05,0,breeder,,0,0,0,0,0,
grls01LNL888,1,2014-09,1,companion/pet,,0,0,0,0,0,
grls01LNL888,1,2014-09,0,breeder,,0,0,0,0,0,
grls01LNL888,2,2015-10,1,companion/pet,,0,0,0,0,0,
grls01LNL888,2,2015-10,0,therapy dog,,0,0,0,0,1,not specified
grls01LNL888,3,2016-10,1,companion/pet,,0,0,0,0,0,
grls01LNL888,3,2016-10,0,therapy dog,,0,0,1,0,1,not specified
grls01LNL888,4,2017-10,1,companion/pet,,0,0,0,0,0,
grls01LNL888,4,2017-10,0,therapy dog,,0,0,1,0,1,recovery center
grls01LNL888,5,2018-10,1,companion/pet,,0,0,0,0,0,
grls01LNL888,5,2018-10,0,therapy dog,,0,0,1,0,1,rehabilitation facility
grls01LNL888,6,2019-10,1,companion/pet,,0,0,0,0,0,
grls01LNL888,6,2019-10,0,other,"dock diving, dog athlete, therapy dog",0,0,0,0,0,
grls01LNL888,7,2020-10,0,therapy dog,,0,0,1,0,1,not specified
grls01LNL888,7,2020-10,1,companion/pet,,0,0,0,0,0,
grls01LNL888,8,2021-09,0,therapy dog,,0,0,1,0,1,not specified
grls01LNL888,8,2021-09,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,0,2014-11,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,0,2014-11,0,companion/pet,,0,0,0,0,0,
grls01RDAKNN,1,2016-01,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,1,2016-01,0,other,not specified,0,0,0,0,0,
grls01RDAKNN,2,2017-01,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,2,2017-01,0,companion/pet,,0,0,0,0,0,
grls01RDAKNN,3,2018-01,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,3,2018-01,0,companion/pet,,0,0,0,0,0,
grls01RDAKNN,4,2018-12,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,4,2018-12,0,other,unspecified,0,0,0,0,0,
grls01RDAKNN,5,2019-12,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,5,2019-12,0,other,unspecified,0,0,0,0,0,
grls01RDAKNN,6,2020-12,0,other,unspecified,0,0,0,0,0,
grls01RDAKNN,6,2020-12,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,7,2021-12,0,other,unspecified,0,0,0,0,0,
grls01RDAKNN,7,2021-12,1,companion/pet,,0,0,0,0,0,
grls01RDAKNN,8,2023-01,0,other,unspecified,0,0,0,0,0,
grls01RDAKNN,8,2023-01,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,0,2015-01,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,0,2015-01,0,service dog,,0,0,0,0,0,
grls020IW1ZZ,1,2016-01,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,1,2016-01,0,service dog,,0,0,0,0,0,
grls020IW1ZZ,2,2017-01,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,2,2017-01,0,service dog,,0,0,0,0,0,
grls020IW1ZZ,3,2018-02,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,3,2018-02,0,dog athlete,,0,0,0,0,0,
grls020IW1ZZ,4,2019-01,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,4,2019-01,0,dog athlete,,0,0,0,0,0,
grls020IW1ZZ,5,2020-01,1,companion/pet,,0,0,0,0,0,
grls020IW1ZZ,5,2020-01,0,service dog,,0,0,0,0,0,
grls020IW1ZZ,6,2021-02,0,dog athlete,,0,0,0,0,0,
grls020IW1ZZ,6,2021-02,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,0,2013-05,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,0,2013-05,0,obedience,,0,0,0,0,0,
grls02RRJK88,1,2014-10,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,1,2014-10,0,hunting,,0,0,0,0,0,
grls02RRJK88,2,2015-07,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,2,2015-07,0,hunting,,0,0,0,0,0,
grls02RRJK88,3,2016-07,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,3,2016-07,0,hunting,,0,0,0,0,0,
grls02RRJK88,4,2017-07,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,4,2017-07,0,breeder,,0,0,0,0,0,
grls02RRJK88,5,2018-08,1,companion/pet,,0,0,0,0,0,
grls02RRJK88,5,2018-08,0,obedience,,0,0,0,0,0,
